subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0001	1	[0,6]	79	12	276	23	28	9	14	9	14	5
subsample_0001	1	(6,12]	76	131	733	523	778	215	308	14	509	255
subsample_0001	1	(12,40]	140	378	2013	4807	12986	1606	3201	482	4325	8179
subsample_0002	1	[0,6]	124	53	617	140	283	14	126	9	131	143
subsample_0002	1	(6,12]	90	203	952	3866	8911	1111	2755	440	3426	5045
subsample_0002	1	(12,40]	268	668	3537	6160	23583	2011	4149	688	5472	17423
subsample_0003	1	[0,6]	96	31	678	129	212	82	47	7	122	83
subsample_0003	1	(6,12]	53	139	603	1818	3650	586	1232	140	1678	1832
subsample_0003	1	(12,40]	315	565	3874	7540	28281	2716	4824	872	6668	20741
subsample_0004	1	[0,6]	73	7	204	0	4	0	0	0	0	4
subsample_0004	1	(6,12]	108	119	767	260	395	31	229	16	244	135
subsample_0004	1	(12,40]	102	305	1973	4630	12429	1071	3559	485	4145	7799
subsample_0005	1	[0,6]	131	131	935	368	666	61	307	15	353	298
subsample_0005	1	(6,12]	83	277	1072	3586	8817	1000	2586	460	3126	5231
subsample_0005	1	(12,40]	210	588	3680	5522	22320	1552	3970	525	4997	16798
subsample_0006	1	[0,6]	167	52	576	219	324	133	86	12	207	105
subsample_0006	1	(6,12]	107	168	820	2834	5949	572	2262	314	2520	3115
subsample_0006	1	(12,40]	234	742	3996	7328	24350	2276	5052	604	6724	17022
subsample_0007	1	[0,6]	66	7	271	22	27	10	12	7	15	5
subsample_0007	1	(6,12]	73	122	659	410	510	113	297	11	399	100
subsample_0007	1	(12,40]	277	489	2685	6030	19101	1744	4286	676	5354	13071
subsample_0008	1	[0,6]	63	15	269	7	11	5	2	5	2	4
subsample_0008	1	(6,12]	58	83	375	80	121	25	55	15	65	41
subsample_0008	1	(12,40]	195	485	2796	6066	16548	1606	4460	600	5466	10482
subsample_0009	1	[0,6]	81	12	275	7	12	4	3	4	3	5
subsample_0009	1	(6,12]	48	152	556	120	244	25	95	14	106	124
subsample_0009	1	(12,40]	222	617	2674	5688	15558	1599	4089	526	5162	9870
subsample_0010	1	[0,6]	101	27	719	211	335	75	136	18	193	124
subsample_0010	1	(6,12]	85	151	1110	3004	6926	782	2222	244	2760	3922
subsample_0010	1	(12,40]	254	625	4561	5830	22295	1816	4014	373	5457	16465
subsample_0011	1	[0,6]	101	29	359	45	62	4	41	7	38	17
subsample_0011	1	(6,12]	69	221	742	614	766	117	497	33	581	152
subsample_0011	1	(12,40]	268	751	3999	9589	31587	2825	6764	1054	8535	21998
subsample_0012	1	[0,6]	122	62	651	93	126	34	59	2	91	33
subsample_0012	1	(6,12]	83	171	1122	2091	4951	676	1415	219	1872	2860
subsample_0012	1	(12,40]	264	564	3943	6930	24550	2008	4922	814	6116	17620
subsample_0013	1	[0,6]	94	30	423	23	34	7	16	5	18	11
subsample_0013	1	(6,12]	53	121	451	390	633	105	285	25	365	243
subsample_0013	1	(12,40]	275	681	3850	9873	30845	2991	6882	838	9035	20972
subsample_0014	1	[0,6]	107	29	447	11	56	5	6	4	7	45
subsample_0014	1	(6,12]	48	152	733	750	1566	310	440	27	723	816
subsample_0014	1	(12,40]	312	867	4320	8154	27789	2309	5845	805	7349	19635
subsample_0015	1	[0,6]	125	27	497	27	51	3	24	1	26	24
subsample_0015	1	(6,12]	58	164	850	324	683	97	227	25	299	359
subsample_0015	1	(12,40]	247	464	2833	7513	22735	2199	5314	773	6740	15222
subsample_0016	1	[0,6]	130	195	1112	263	525	74	189	31	232	262
subsample_0016	1	(6,12]	110	275	1298	3725	9551	859	2866	440	3285	5826
subsample_0016	1	(12,40]	252	551	3431	4724	19236	1309	3415	340	4384	14512
subsample_0017	1	[0,6]	169	25	428	23	56	5	18	7	16	33
subsample_0017	1	(6,12]	109	212	1179	1798	3260	244	1554	65	1733	1462
subsample_0017	1	(12,40]	427	739	3812	7427	23273	2116	5311	671	6756	15846
subsample_0018	1	[0,6]	165	112	906	274	373	58	216	10	264	99
subsample_0018	1	(6,12]	74	267	922	2699	6523	864	1835	326	2373	3824
subsample_0018	1	(12,40]	459	644	4116	6816	22238	1956	4860	567	6249	15422
subsample_0019	1	[0,6]	68	26	325	11	41	3	8	2	9	30
subsample_0019	1	(6,12]	40	199	850	178	499	32	146	19	159	321
subsample_0019	1	(12,40]	171	616	3083	6623	20053	1430	5193	554	6069	13430
subsample_0020	1	[0,6]	73	20	395	19	44	6	13	3	16	25
subsample_0020	1	(6,12]	63	132	954	1303	1879	619	684	31	1272	576
subsample_0020	1	(12,40]	252	736	4028	7331	24497	2395	4936	805	6526	17166
subsample_0021	1	[0,6]	190	86	945	737	922	288	449	21	716	185
subsample_0021	1	(6,12]	76	277	1277	3773	8782	746	3027	369	3404	5009
subsample_0021	1	(12,40]	189	561	3261	5057	20277	1315	3742	562	4495	15220
subsample_0022	1	[0,6]	62	16	242	21	43	8	13	9	12	22
subsample_0022	1	(6,12]	47	45	534	350	464	95	255	20	330	114
subsample_0022	1	(12,40]	229	593	3406	6955	20088	1665	5290	612	6343	13133
subsample_0023	1	[0,6]	92	21	386	15	33	5	10	5	10	18
subsample_0023	1	(6,12]	83	241	1201	786	1371	305	481	64	722	585
subsample_0023	1	(12,40]	161	426	2643	6128	19607	1677	4451	797	5331	13479
subsample_0024	1	[0,6]	142	141	1043	439	656	189	250	36	403	217
subsample_0024	1	(6,12]	80	227	1129	3131	9012	1008	2123	540	2591	5881
subsample_0024	1	(12,40]	160	446	3294	4325	18964	1496	2829	437	3888	14639
subsample_0025	1	[0,6]	148	67	756	83	136	14	69	8	75	53
subsample_0025	1	(6,12]	93	219	882	1508	2707	578	930	67	1441	1199
subsample_0025	1	(12,40]	242	581	4488	7611	27857	1948	5663	853	6758	20246
subsample_0026	1	[0,6]	162	99	815	113	156	27	86	15	98	43
subsample_0026	1	(6,12]	39	153	1127	2498	5724	555	1943	204	2294	3226
subsample_0026	1	(12,40]	206	460	3994	5273	21603	1545	3728	520	4753	16330
subsample_0027	1	[0,6]	52	7	267	6	18	4	2	0	6	12
subsample_0027	1	(6,12]	64	48	564	374	700	47	327	32	342	326
subsample_0027	1	(12,40]	261	566	4239	8690	27300	2742	5948	680	8010	18610
subsample_0028	1	[0,6]	248	157	1320	556	965	170	386	14	542	409
subsample_0028	1	(6,12]	66	215	1136	3370	8009	1123	2247	296	3074	4639
subsample_0028	1	(12,40]	168	586	3414	5630	19999	1686	3944	397	5233	14369
subsample_0029	1	[0,6]	156	32	477	24	41	4	20	4	20	17
subsample_0029	1	(6,12]	75	122	694	399	546	202	197	40	359	147
subsample_0029	1	(12,40]	335	893	4613	8565	27310	2316	6249	843	7722	18745
subsample_0030	1	[0,6]	100	8	275	3	7	3	0	3	0	4
subsample_0030	1	(6,12]	51	77	407	243	458	34	209	19	224	215
subsample_0030	1	(12,40]	206	419	2548	4006	13407	1380	2626	573	3433	9401
subsample_0031	1	[0,6]	137	177	1261	1315	1915	447	868	55	1260	600
subsample_0031	1	(6,12]	105	199	1433	4078	10210	1290	2788	509	3569	6132
subsample_0031	1	(12,40]	159	264	2626	4352	17297	1546	2806	443	3909	12945
subsample_0032	1	[0,6]	133	16	471	56	116	9	47	9	47	60
subsample_0032	1	(6,12]	87	116	902	2627	5733	605	2022	308	2319	3106
subsample_0032	1	(12,40]	312	475	3776	6075	24103	1916	4159	787	5288	18028
subsample_0033	1	[0,6]	85	12	310	8	17	3	5	4	4	9
subsample_0033	1	(6,12]	74	125	472	236	663	40	196	26	210	427
subsample_0033	1	(12,40]	254	661	4549	8691	28982	2195	6496	840	7851	20291
subsample_0034	1	[0,6]	103	37	386	19	54	7	12	7	12	35
subsample_0034	1	(6,12]	72	251	1067	914	1588	354	560	32	882	674
subsample_0034	1	(12,40]	295	650	4034	8277	29815	2146	6131	856	7421	21538
subsample_0035	1	[0,6]	62	4	215	9	24	4	5	3	6	15
subsample_0035	1	(6,12]	81	157	732	206	361	23	183	8	198	155
subsample_0035	1	(12,40]	141	269	2203	4249	11836	1427	2822	453	3796	7587
subsample_0036	1	[0,6]	122	34	472	28	52	8	20	9	19	24
subsample_0036	1	(6,12]	44	113	706	1451	3016	297	1154	80	1371	1565
subsample_0036	1	(12,40]	275	653	4068	7496	25953	2724	4772	734	6762	18457
subsample_0037	1	[0,6]	112	39	612	76	111	8	68	5	71	35
subsample_0037	1	(6,12]	86	299	1201	1615	3722	626	989	141	1474	2107
subsample_0037	1	(12,40]	271	734	4117	7552	26620	1798	5754	851	6701	19068
subsample_0038	1	[0,6]	125	25	442	12	31	6	6	4	8	19
subsample_0038	1	(6,12]	62	128	794	716	1286	229	487	29	687	570
subsample_0038	1	(12,40]	302	676	3422	6544	23264	1711	4833	789	5755	16720
subsample_0039	1	[0,6]	128	41	462	47	85	6	41	8	39	38
subsample_0039	1	(6,12]	62	214	1273	1411	2758	454	957	74	1337	1347
subsample_0039	1	(12,40]	181	605	3268	7585	24956	1750	5835	1029	6556	17371
subsample_0040	1	[0,6]	143	82	575	36	61	5	31	2	34	25
subsample_0040	1	(6,12]	52	218	992	909	1777	462	447	31	878	868
subsample_0040	1	(12,40]	280	737	4311	8034	29671	1860	6174	843	7191	21637
subsample_0041	1	[0,6]	154	178	1233	1003	2140	259	744	71	932	1137
subsample_0041	1	(6,12]	53	141	1065	2782	7790	699	2083	507	2275	5008
subsample_0041	1	(12,40]	176	388	3220	4264	18862	1022	3242	588	3676	14598
subsample_0042	1	[0,6]	93	8	266	19	27	8	11	8	11	8
subsample_0042	1	(6,12]	78	93	527	356	777	48	308	32	324	421
subsample_0042	1	(12,40]	222	427	2682	6739	20157	1688	5051	783	5956	13418
subsample_0043	1	[0,6]	112	49	485	103	207	28	75	12	91	104
subsample_0043	1	(6,12]	96	282	1037	1484	3410	526	958	195	1289	1926
subsample_0043	1	(12,40]	313	879	4411	6737	25611	2231	4506	846	5891	18874
subsample_0044	1	[0,6]	121	23	316	44	59	10	34	11	33	15
subsample_0044	1	(6,12]	48	86	380	364	544	133	231	50	314	180
subsample_0044	1	(12,40]	303	849	4729	9455	30441	2484	6971	1015	8440	20986
subsample_0045	1	[0,6]	219	270	1243	552	783	193	359	27	525	231
subsample_0045	1	(6,12]	118	352	1351	4168	8955	857	3311	308	3860	4787
subsample_0045	1	(12,40]	217	787	3442	4537	19360	1132	3405	343	4194	14823
subsample_0046	1	[0,6]	87	16	253	8	18	1	7	1	7	10
subsample_0046	1	(6,12]	57	75	477	171	248	35	136	34	137	77
subsample_0046	1	(12,40]	168	353	2104	5259	14377	1513	3746	585	4674	9118
subsample_0047	1	[0,6]	112	139	1160	464	704	152	312	14	450	240
subsample_0047	1	(6,12]	94	221	1070	3630	8925	1157	2473	281	3349	5295
subsample_0047	1	(12,40]	235	678	3687	5484	20089	1493	3991	396	5088	14605
subsample_0048	1	[0,6]	174	46	542	118	163	63	55	11	107	45
subsample_0048	1	(6,12]	117	164	639	604	1391	98	506	117	487	787
subsample_0048	1	(12,40]	318	1153	4771	9126	27243	2083	7043	725	8401	18117
subsample_0049	1	[0,6]	90	32	380	26	54	9	17	6	20	28
subsample_0049	1	(6,12]	78	189	1155	3143	5918	736	2407	191	2952	2775
subsample_0049	1	(12,40]	198	434	3811	5709	22536	1554	4155	478	5231	16827
subsample_0050	1	[0,6]	133	31	497	85	169	46	39	23	62	84
subsample_0050	1	(6,12]	67	76	472	685	1667	159	526	209	476	982
subsample_0050	1	(12,40]	219	663	3691	7807	27001	2249	5558	930	6877	19194
subsample_0051	1	[0,6]	73	37	300	29	48	9	20	8	21	19
subsample_0051	1	(6,12]	61	209	917	523	788	122	401	13	510	265
subsample_0051	1	(12,40]	139	294	1913	4646	13776	1520	3126	495	4151	9130
subsample_0052	1	[0,6]	76	9	272	16	36	8	8	7	9	20
subsample_0052	1	(6,12]	71	80	447	167	268	30	137	13	154	101
subsample_0052	1	(12,40]	160	360	1971	5881	16024	1843	4038	775	5106	10143
subsample_0053	1	[0,6]	89	33	316	11	27	1	10	1	10	16
subsample_0053	1	(6,12]	58	171	715	1182	2390	163	1019	65	1117	1208
subsample_0053	1	(12,40]	267	750	3721	6839	24322	1884	4955	1136	5703	17483
subsample_0054	1	[0,6]	104	14	323	15	27	6	9	4	11	12
subsample_0054	1	(6,12]	61	146	610	900	1534	168	732	38	862	634
subsample_0054	1	(12,40]	309	714	3893	8202	26655	1863	6339	1144	7058	18453
subsample_0055	1	[0,6]	161	47	613	227	341	97	130	7	220	114
subsample_0055	1	(6,12]	112	329	1182	2738	7014	923	1815	326	2412	4276
subsample_0055	1	(12,40]	307	790	4095	5257	22115	1589	3668	567	4690	16858
subsample_0056	1	[0,6]	176	150	923	215	396	70	145	15	200	181
subsample_0056	1	(6,12]	43	205	960	2656	6804	825	1831	347	2309	4148
subsample_0056	1	(12,40]	266	588	4203	5374	22844	1510	3864	656	4718	17470
subsample_0057	1	[0,6]	75	7	307	43	58	13	30	12	31	15
subsample_0057	1	(6,12]	94	112	843	603	1005	202	401	24	579	402
subsample_0057	1	(12,40]	210	598	4135	7069	25302	1687	5382	751	6318	18233
subsample_0058	1	[0,6]	91	13	304	18	32	4	14	4	14	14
subsample_0058	1	(6,12]	71	131	797	512	969	124	388	49	463	457
subsample_0058	1	(12,40]	189	363	2518	5844	17368	1746	4098	571	5273	11524
subsample_0059	1	[0,6]	64	26	359	10	33	6	4	6	4	23
subsample_0059	1	(6,12]	91	130	579	1102	2427	227	875	79	1023	1325
subsample_0059	1	(12,40]	261	704	3494	7164	25626	2412	4752	947	6217	18462
subsample_0060	1	[0,6]	135	39	513	57	77	33	24	5	52	20
subsample_0060	1	(6,12]	61	179	835	1552	3471	365	1187	132	1420	1919
subsample_0060	1	(12,40]	243	615	4614	6600	27635	1958	4642	671	5929	21035
subsample_0061	1	[0,6]	94	15	281	4	14	0	4	0	4	10
subsample_0061	1	(6,12]	93	125	628	147	243	5	142	9	138	96
subsample_0061	1	(12,40]	159	570	2561	5897	16428	1796	4101	690	5207	10531
subsample_0062	1	[0,6]	54	18	245	33	50	12	21	18	15	17
subsample_0062	1	(6,12]	52	108	590	1268	2803	223	1045	56	1212	1535
subsample_0062	1	(12,40]	259	585	4415	7386	25946	2366	5020	861	6525	18560
subsample_0063	1	[0,6]	135	22	430	46	63	16	30	14	32	17
subsample_0063	1	(6,12]	110	187	1076	1680	2752	689	991	48	1632	1072
subsample_0063	1	(12,40]	292	678	4051	7956	27100	2319	5637	665	7291	19144
subsample_0064	1	[0,6]	65	6	306	11	24	4	7	3	8	13
subsample_0064	1	(6,12]	81	122	775	505	1032	63	442	37	468	527
subsample_0064	1	(12,40]	185	364	2144	4732	14237	1394	3338	616	4116	9505
subsample_0065	1	[0,6]	73	24	372	4	24	2	2	0	4	20
subsample_0065	1	(6,12]	38	115	709	313	493	138	175	23	290	180
subsample_0065	1	(12,40]	295	671	4533	8917	28217	2667	6250	747	8170	19300
subsample_0066	1	[0,6]	131	25	427	15	46	3	12	2	13	31
subsample_0066	1	(6,12]	96	316	934	922	1411	411	511	18	904	489
subsample_0066	1	(12,40]	237	387	2361	5732	16530	1592	4140	581	5151	10798
subsample_0067	1	[0,6]	153	87	863	207	316	66	141	20	187	109
subsample_0067	1	(6,12]	96	256	1227	3379	7717	1113	2266	399	2980	4338
subsample_0067	1	(12,40]	255	577	3670	6117	24123	1987	4130	621	5496	18006
subsample_0068	1	[0,6]	96	7	339	22	45	2	20	1	21	23
subsample_0068	1	(6,12]	87	248	936	664	1278	192	472	17	647	614
subsample_0068	1	(12,40]	226	613	3126	6732	21874	2025	4707	559	6173	15142
subsample_0069	1	[0,6]	76	18	374	37	57	5	32	5	32	20
subsample_0069	1	(6,12]	58	61	607	1737	3635	353	1384	148	1589	1898
subsample_0069	1	(12,40]	242	493	3843	7558	27620	1755	5803	874	6684	20062
subsample_0070	1	[0,6]	64	22	329	12	18	2	10	1	11	6
subsample_0070	1	(6,12]	47	107	566	158	331	18	140	12	146	173
subsample_0070	1	(12,40]	244	639	4003	7341	25621	1988	5353	719	6622	18280
subsample_0071	1	[0,6]	133	19	375	6	26	2	4	2	4	20
subsample_0071	1	(6,12]	58	89	721	1277	2821	237	1040	120	1157	1544
subsample_0071	1	(12,40]	197	336	1901	4737	14440	1488	3249	927	3810	9703
subsample_0072	1	[0,6]	186	142	928	667	922	265	402	31	636	255
subsample_0072	1	(6,12]	78	208	1032	3290	9220	969	2321	546	2744	5930
subsample_0072	1	(12,40]	310	618	3319	5482	21128	1549	3933	529	4953	15646
subsample_0073	1	[0,6]	125	20	378	21	36	3	18	4	17	15
subsample_0073	1	(6,12]	49	84	507	428	897	106	322	51	377	469
subsample_0073	1	(12,40]	324	954	4871	7680	26679	2110	5570	657	7023	18999
subsample_0074	1	[0,6]	103	30	453	72	94	43	29	7	65	22
subsample_0074	1	(6,12]	71	229	1009	1191	2422	469	722	100	1091	1231
subsample_0074	1	(12,40]	255	659	3740	8929	25870	2877	6052	644	8285	16941
subsample_0075	1	[0,6]	60	18	260	28	42	3	25	2	26	14
subsample_0075	1	(6,12]	90	172	934	1477	3030	246	1231	51	1426	1553
subsample_0075	1	(12,40]	279	378	2901	6106	17227	1912	4194	583	5523	11121
subsample_0076	1	[0,6]	201	209	957	483	1115	143	340	39	444	632
subsample_0076	1	(6,12]	120	338	1424	3026	8967	807	2219	455	2571	5941
subsample_0076	1	(12,40]	251	473	3499	4150	19679	1012	3138	456	3694	15529
subsample_0077	1	[0,6]	89	17	317	7	20	3	4	3	4	13
subsample_0077	1	(6,12]	107	216	1142	642	922	268	374	11	631	280
subsample_0077	1	(12,40]	230	421	2447	6155	18522	1787	4368	548	5607	12367
subsample_0078	1	[0,6]	119	11	329	13	24	5	8	4	9	11
subsample_0078	1	(6,12]	57	257	686	269	619	38	231	18	251	350
subsample_0078	1	(12,40]	202	529	2374	5645	16662	1833	3812	649	4996	11017
subsample_0079	1	[0,6]	106	31	521	139	187	14	125	16	123	48
subsample_0079	1	(6,12]	95	241	887	2050	4374	628	1422	142	1908	2324
subsample_0079	1	(12,40]	277	734	4231	7417	27370	1780	5637	806	6611	19953
subsample_0080	1	[0,6]	96	10	308	4	11	1	3	1	3	7
subsample_0080	1	(6,12]	97	130	725	346	491	94	252	13	333	145
subsample_0080	1	(12,40]	115	405	1637	4366	11298	1569	2797	525	3841	6932
subsample_0081	1	[0,6]	89	30	418	18	30	8	10	6	12	12
subsample_0081	1	(6,12]	55	168	1008	574	931	223	351	33	541	357
subsample_0081	1	(12,40]	219	771	4235	9008	29428	2738	6270	860	8148	20420
subsample_0082	1	[0,6]	150	92	1118	572	992	161	411	58	514	420
subsample_0082	1	(6,12]	90	307	1558	4124	10361	1281	2843	461	3663	6237
subsample_0082	1	(12,40]	228	370	2969	4731	18336	1585	3146	520	4211	13605
subsample_0083	1	[0,6]	45	6	322	9	10	4	5	5	4	1
subsample_0083	1	(6,12]	37	37	507	155	267	29	126	21	134	112
subsample_0083	1	(12,40]	178	326	2960	5975	17215	1765	4210	464	5511	11240
subsample_0084	1	[0,6]	118	36	365	40	57	8	32	6	34	17
subsample_0084	1	(6,12]	90	197	928	1232	2305	452	780	90	1142	1073
subsample_0084	1	(12,40]	187	435	2902	6048	18290	1211	4837	614	5434	12242
subsample_0085	1	[0,6]	131	190	1091	232	433	106	126	21	211	201
subsample_0085	1	(6,12]	62	224	865	2465	5793	698	1767	202	2263	3328
subsample_0085	1	(12,40]	309	906	4536	6269	23833	1380	4889	633	5636	17564
subsample_0086	1	[0,6]	132	18	380	37	51	9	28	6	31	14
subsample_0086	1	(6,12]	80	161	1089	2310	4387	526	1784	104	2206	2077
subsample_0086	1	(12,40]	289	887	4365	6956	23775	2210	4746	597	6359	16819
subsample_0087	1	[0,6]	210	179	960	373	871	54	319	42	331	498
subsample_0087	1	(6,12]	63	204	818	3016	7281	942	2074	386	2630	4265
subsample_0087	1	(12,40]	219	492	3497	4767	21046	1403	3364	499	4268	16279
subsample_0088	1	[0,6]	67	11	191	5	12	3	2	2	3	7
subsample_0088	1	(6,12]	55	26	275	44	71	14	30	8	36	27
subsample_0088	1	(12,40]	149	504	2138	3354	9060	954	2400	353	3001	5706
subsample_0089	1	[0,6]	183	37	578	36	53	2	34	3	33	17
subsample_0089	1	(6,12]	70	187	811	559	987	99	460	21	538	428
subsample_0089	1	(12,40]	226	403	2047	5736	17186	1800	3936	684	5052	11450
subsample_0090	1	[0,6]	81	20	332	9	16	1	8	0	9	7
subsample_0090	1	(6,12]	44	62	315	278	356	140	138	31	247	78
subsample_0090	1	(12,40]	257	812	3844	8442	26696	2355	6087	848	7594	18254
subsample_0091	1	[0,6]	68	16	239	5	10	3	2	2	3	5
subsample_0091	1	(6,12]	75	58	403	76	158	7	69	6	70	82
subsample_0091	1	(12,40]	134	346	2474	4113	12178	1577	2536	515	3598	8065
subsample_0092	1	[0,6]	63	8	231	12	25	3	9	4	8	13
subsample_0092	1	(6,12]	29	70	461	184	292	36	148	14	170	108
subsample_0092	1	(12,40]	164	325	2740	5561	18243	1551	4010	673	4888	12682
subsample_0093	1	[0,6]	81	36	441	100	147	39	61	13	87	47
subsample_0093	1	(6,12]	76	171	1212	2423	4754	680	1743	113	2310	2331
subsample_0093	1	(12,40]	278	534	4055	6421	23996	1546	4875	782	5639	17575
subsample_0094	1	[0,6]	121	36	426	28	43	4	24	3	25	15
subsample_0094	1	(6,12]	67	146	652	833	1347	227	606	35	798	514
subsample_0094	1	(12,40]	371	581	3098	7728	25065	2092	5636	749	6979	17337
subsample_0095	1	[0,6]	97	32	298	20	46	7	13	2	18	26
subsample_0095	1	(6,12]	81	174	691	821	1624	174	647	50	771	803
subsample_0095	1	(12,40]	253	700	4821	7533	27807	2104	5429	796	6737	20274
subsample_0096	1	[0,6]	69	13	274	5	12	1	4	0	5	7
subsample_0096	1	(6,12]	73	89	712	284	371	73	211	18	266	87
subsample_0096	1	(12,40]	236	498	2923	6325	19850	1804	4521	637	5688	13525
subsample_0097	1	[0,6]	120	15	518	180	218	115	65	16	164	38
subsample_0097	1	(6,12]	58	94	482	881	2187	167	714	180	701	1306
subsample_0097	1	(12,40]	351	680	4809	8956	27240	2840	6116	622	8334	18284
subsample_0098	1	[0,6]	67	23	473	28	43	6	22	6	22	15
subsample_0098	1	(6,12]	74	258	1160	2498	4742	553	1945	115	2383	2244
subsample_0098	1	(12,40]	187	873	4738	7049	24791	2029	5020	726	6323	17742
subsample_0099	1	[0,6]	119	20	348	9	39	1	8	2	7	30
subsample_0099	1	(6,12]	67	84	667	378	535	36	342	14	364	157
subsample_0099	1	(12,40]	299	829	3982	8427	26767	2647	5780	738	7689	18340
subsample_0100	1	[0,6]	111	110	1167	749	1144	153	596	45	704	395
subsample_0100	1	(6,12]	112	246	1287	3483	7934	887	2596	373	3110	4451
subsample_0100	1	(12,40]	171	608	3382	5294	20715	1250	4044	472	4822	15421
